"All percentages range 0-100% of the total count for either Eukaryotes or Prokaryotes, with exception of the first three data rows (% Known, % Eukaryote, % Prokaryote), which represent %s of total reads."																																																																																						
Taxonomy String (K->S)	Terminal Taxa	MP_E25_2B_DY20	MP_E29_1B_DY20	MP_E31_1B_DY20	MP_E33_1B_DY20	MP_E27_1B_DY20	MP_E35_1B_DY20	MP_E37_1B_DY20	MP_E71_1B_DY20	MP_E294_1B_NO20	MP_E40_1B_DY20	MP_E290_1B_NO20	MP_E42_1B_DY20	MP_E288_1B_NO20	MP_E46_2B_DY20	MP_E296_1B_NO20	MP_E44_DY20	MP_E298_1B_NO20	MP_E300_1B_NO20	MP_E272_2B_NO20	MP_E268_1B_NO20	MP_E266_2B_NO20	MP_E48_1B_DY20	MP_E264_1B_NO20	MP_E50_1B_DY20	MP_E262_1B_NO20	MP_E260_1B_NO20	MP_E52_1B_DY20	MP_E258_1B_NO20	MP_E54_1B_DY20	MP_E63_1B_DY20	MP_E61_1B_DY20	MP_E59_1B_DY20	MP_E236_1B_NO20	MP_E57_1B_DY20	MP_E65_1B_DY20	MP_E256_1B_NO20	MP_E254_NO20	MP_E252_2B_NO20	MP_E67_1B_DY20	MP_E248_1B_NO20	MP_E69_1B_DY20	MP_E246_1B_NO20	MP_E244_1B_NO20	MP_E26_1B_DY20	MP_E30_1B_DY20	MP_E32_1B_DY20	MP_E34_1B_DY20	MP_E28_1B_DY20	MP_E36_1B_DY20	MP_E38_1B_DY20	MP_E72_1B_DY20	MP_E293_1B_NO20	MP_E39_1B_DY20	MP_E289_1B_NO20	MP_E43_1B_DY20	MP_E287_1B_NO20	MP_E47_1B_DY20	MP_E295_1B_NO20	MP_E45_1B_DY20	MP_E297_1B_NO20	MP_E299_1B_NO20	MP_E271_1B_NO20	MP_E267_1B_NO20	MP_E49_1B_DY20	MP_E263_2B_NO20	MP_E51_1B_DY20	MP_E261_2B_NO20	MP_E259_1B_NO20	MP_E53_1B_DY20	MP_E257_1B_NO20	MP_E55_1B_DY20	MP_E64_1B_DY20	MP_E62_1B_DY20	MP_E60_1B_DY20	MP_E235_1B_NO20	MP_E58_1B_DY20	MP_E66_1B_DY20	MP_E255_1B_NO20	MP_E253_NO20	MP_E251_1B_NO20	MP_E68_1B_DY20	MP_E247_1B_NO20	MP_E70_1B_DY20	MP_E245_1B_NO20	MP_E243_1B_NO20
Bacteria;Desulfobacterota;Desulfobulbia;Desulfobulbales;Desulfocapsaceae;NA;NA	Desulfocapsaceae					0.04				0.03		0.06		0.14				0.03		0.05														0.01																0.05							0.38	0.01			0.04	0.05	0.03					0.04	0.11										D	0.01						0.02
Bacteria;Desulfobacterota;Desulfobulbia;Desulfobulbales;Desulfocapsaceae;SEEP_SRB4;NA	SEEP_SRB4											0.05		0.07		0.08																																0.07		0.14	0.09	0.01			0.01		0.26	0.05	0.05		0.05	0.04			0.16		0.09	0.16	0.03			0.02				0.01						0.03				0.02
Bacteria;Desulfobacterota;Desulfobulbia;Desulfobulbales;Desulfocapsaceae;_Desulfobacterium_ catecholicum group;NA	_Desulfobacterium_ catecholicum group													0.05			0.04																																	0.05		0.05					0.1					0.04			0.03			0.08	0.01	0.02																
Bacteria;Desulfobacterota;Desulfuromonadia;Bradymonadales;NA;NA;NA	Bradymonadales																																																																			0.02																		
Bacteria;Desulfobacterota;Desulfuromonadia;Desulfuromonadales;Desulfuromonadaceae;Desulfuromonas;NA	Desulfuromonas													0.03																																																																								
Bacteria;Desulfobacterota;Desulfuromonadia;Desulfuromonadales;Geopsychrobacteraceae;Geopsychrobacter;NA	Geopsychrobacter																																																	0.24																																				
Bacteria;Desulfobacterota;Desulfuromonadia;Desulfuromonadales;Sva1033;NA;NA	Sva1033					0.03				0.02	0.04		0.01	0.35		0.05	0.2	0.08																			0.03				0.01					0.16	0.11	0.2		0.6	0.21	0.13	0.08	0.27	0.03		0.7	0.15	0.07		0.16		0.03		0.09	0.04	0.15	0.18	0.06	0.13		0.05			0.5		0.04		0.06			0.1	0.05			0.14
Bacteria;Desulfobacterota;Desulfuromonadia;PB19;NA;NA;NA	PB19							0.05	0.22	0.22	0.02	0.12		0.28		0.2	0.04	0.19	0.09	0.02		0.04	0.09	0.06	0.02			0.28		0.24							0.01													0.43	0.06	0.04	0.16		0.19		0.08		0.06		0.05	0.05	0.17	0.11				D	0.12	0.05	0.24	0.07	0.06	0.04						0.01	0.02		0.06	0.08	0.08	0.08
Bacteria;Desulfobacterota;NA;NA;NA;NA;NA	Desulfobacterota				0.21	1.15				0.31	0.31		0.06	0.14		0.6	0.01	0.17	0.07	0.01	0.06				0.01					0.07															2.12	1.52	2.71	1.71	0.14	0.73	0.74	0.36	0.36		0.04	0.23	0.14		0.54		0.16	0.21	0.1	0.06					0.11	0.05	0.05			0.05					0.03	0.05	0.06	0.05	0.09	0.3	0.19	0.2
Bacteria;Desulfobacterota;Syntrophobacteria;Syntrophobacterales;NA;NA;NA	Syntrophobacterales					0.01					0.02						0.03																												0.05		0.03																				0.01					0.01														D
	<<<Elusimicrobiota>>>																																																																																					
Bacteria;Elusimicrobiota;Rs_M47;NA;NA;NA;NA	Rs_M47																																																																																		0.01			
	<<<Fibrobacterota>>>																																																																																					
Bacteria;Fibrobacterota;Fibrobacteria;Fibrobacterales;Fibrobacteraceae;NA;NA	Fibrobacteraceae											0.02		0.02			0.02							0.06	0.09		0.04		0.04	0.08																							0.01	0.02				0.08			0.04	0.07	0.06			0.02	0.08	0.09			0.03			0.01								0.03				
	<<<Firmicutes>>>																																																																																					
Bacteria;Firmicutes;Bacilli;Entomoplasmatales;Entomoplasmatales Incertae Sedis;Candidatus Hepatoplasma;NA	Candidatus Hepatoplasma																																				0.02																																							0.02										
Bacteria;Firmicutes;Bacilli;Izemoplasmatales;Izemoplasmataceae;Izimaplasma;NA	Izimaplasma																	0.01																														0.03																				0.02							0.03	0.04							0.01			
Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;NA	Streptococcus																														0.29	0.51	0.1		0.05					0.19																																														
Bacteria;Firmicutes;Bacilli;Mycoplasmatales;Mycoplasmataceae;Mycoplasma;NA	Mycoplasma												0.01							0.02				0.03	D				0.03	0.01						0.01			0.03	0.01		0.11	0.03	D											0.02	0.01					0.02		0.01	0.04																						
Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;NA;NA	Lachnospiraceae																																																							0.08																														
Bacteria;Firmicutes;Clostridia;Oscillospirales;Hungateiclostridiaceae;NA;NA	Hungateiclostridiaceae																																																																										0.03											
Bacteria;Firmicutes;Clostridia;Peptostreptococcales_Tissierellales;Alkaliphilus;NA;NA	Alkaliphilus		0.06	0.26			0.43																																										0.2																																					
Bacteria;Firmicutes;Clostridia;Peptostreptococcales_Tissierellales;Fusibacteraceae;Fusibacter;NA	Fusibacter																																																																	0.03																				
	<<<Fusobacteriota>>>																																																																																					
Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Fusobacteriaceae;Psychrilyobacter;NA	Psychrilyobacter									0.02				0.03		0.03									0.01																																								0.07	0.11																	0.02			
	<<<Hydrogenedentes>>>																																																																																					
Bacteria;Hydrogenedentes;Hydrogenedentia;Hydrogenedentiales;Hydrogenedensaceae;NA;NA	Hydrogenedensaceae					0.02				0.08				0.02		0.1									0.04																												0.23			0.04			0.14		0.02	0.03		0.03		0.06		0.02	0.02		0.07			0.04	0.03	0.04	0.1		0.11	0.08	0.22	0.08	0.13		0.05	0.1
	<<<Latescibacterota>>>																																																																																					
Bacteria;Latescibacterota;Latescibacteria;Latescibacterales;Latescibacteraceae;NA;NA	Latescibacteraceae																																																																														0.01							
Bacteria;Latescibacterota;NA;NA;NA;NA;NA	Latescibacterota																								0.01																																								0.03																					
	<<<Margulisbacteria>>>																																																																																					
Bacteria;Margulisbacteria;NA;NA;NA;NA;NA	Margulisbacteria																			0.04										0.03																																	0.02																0.01							
	<<<Marinimicrobia _SAR406 clade_>>>																																																																																					
Bacteria;Marinimicrobia _SAR406 clade_;NA;NA;NA;NA;NA	Marinimicrobia _SAR406 clade_	0.09	0.27	0.19	0.32			0.34		0.05	0.8	0.02	0.14		0.2	0.26	0.51	0.06	0.28	0.23	0.44	0.45		0.47	0.15	1.24	2.73		0.7								0.02	0.01					0.05		0.09	0.17	0.21	0.2		0.08	0.28	0.32		0.8		0.66		0.7	0.12	0.43	0.08	0.01	0.7	0.18	0.37	0.29	0.13	0.08	0.51	0.21	0.71	0.01		0.2	0.04			0.03	0.08	0.06		0.08		0.23		0.17
	<<<Myxococcota>>>																																																																																					
Bacteria;Myxococcota;Polyangia;Blfdi19;NA;NA;NA	Blfdi19						0.05																																		0.02		0.02	0.02									0.03			0.11			0.02										0.02																	
Bacteria;Myxococcota;Polyangia;Polyangiales;Sandaracinaceae;NA;NA	Sandaracinaceae										0.06			0.23			0.1		0.02																												0.2	0.17		0.26	0.18	0.09		0.05	0.02		0.63		0.02		0.12	0.08	0.05	0.01	0.07			0.03	D						0.04	0.02		0.02	0.01							
	<<<NB1_j>>>																																																																																					
Bacteria;NB1_j;NA;NA;NA;NA;NA	NB1_j				0.07	0.61	0.01		0.05	0.16	0.46	0.26	0.11	0.11		0.17	0.07		0.2	0.11	0.08		0.09	0.04				0.25		0.34					0.03	0.21	0.17	0.06		0.06		0.2	0.08		0.67	0.7	0.77	0.92		0.36	0.31	0.47	0.15	0.32	0.29	0.38	0.16		0.19		0.13	0.14	0.17	0.12		0.03	0.06	0.02		0.29	0.12	0.75	0.29	0.21	0.23	0.13	0.49	0.25	0.21	0.17	0.24	0.25	0.28	0.44	0.23	0.27
	<<<Nitrospinota>>>																																																																																					
Bacteria;Nitrospinota;Nitrospinia;Nitrospinales;Nitrospinaceae;LS_NOB;NA	LS_NOB									1.05	0.33	0.04		0.02	0.21	0.19	1.31	0.08		0.36	0.56			0.02		0.03	0.11		0.06																0.11	0.04	0.08	0.11		1.07	0.75	0.09	1.32	0.64	0.03	0.07	0.05	1.03	0.31			0.05	0.31	0.48	0.6	0.11	0.13	0.17	1.41		0.16		0.21	0.13	0.06		0.14	0.03	0.33	0.25	0.56	0.1	0.82	0.52	0.89	0.82
Bacteria;Nitrospinota;Nitrospinia;Nitrospinales;Nitrospinaceae;Nitrospina;NA	Nitrospina									0.44	0.3	0.05		0.04		0.26	0.44	0.04	0.01	0.14	0.33	0.01			0.09	0.05			0.03								0.04								0.09	0.13	0.13	0.22		0.56	0.57	0.05	0.66	0.32	0.01	0.08	0.08	0.98	0.22			0.08	0.12	0.2	0.28	0.11	0.03	0.08	0.62	0.02	0.07	0.01	0.14	0.13	0.1	0.1	0.1	0.07	0.13	0.15	0.16		0.33	0.32	0.43	0.45
	<<<Nitrospirota>>>																																																																																					
Bacteria;Nitrospirota;Nitrospiria;Nitrospirales;Nitrospiraceae;Nitrospira;NA	Nitrospira					0.02								0.02				0.01																													0.04	0.02				0.02		0.03			0.34	0.03			0.05	0.07	0.01			0.01		0.05								0.01					0.01	0.01	0.02			0.02
	<<<PAUC34f>>>																																																																																					
Bacteria;PAUC34f;NA;NA;NA;NA;NA	PAUC34f													0.02																0.04																																									0.03			0.02									0.04		0.07	0.04
	<<<Patescibacteria>>>																																																																																					
Bacteria;Patescibacteria;Gracilibacteria;JGI 0000069_P22;NA;NA;NA	JGI 0000069_P22																																													0.09	0.06	0.04																	0.01										0.02								0.02			0.01
Bacteria;Patescibacteria;Gracilibacteria;NA;NA;NA;NA	Gracilibacteria																																															0.01																																						
Bacteria;Patescibacteria;Parcubacteria;Candidatus Moranbacteria;NA;NA;NA	Candidatus Moranbacteria																																																											0.06																										
	<<<Planctomycetota>>>																																																																																					
Bacteria;Planctomycetota;BD7_11;NA;NA;NA;NA	BD7_11											0.06		0.04				0.02												0.01																		0.06		0.08		0.04			0.09		0.05	0.03	0.04		0.15		0.03			0.08	0.02	0.07					0.07	0.03							0.01			0.02	0.03	
Bacteria;Planctomycetota;OM190;NA;NA;NA;NA	OM190									0.15	0.11	0.07	0.03	0.28			0.17	0.13	0.05		0.17		0.42	0.01				0.43	0.01	0.26															0.04		0.02	0.1		0.03	0.08		0.11		0.1	0.05	0.18	0.21		0.04	0.08	0.32	0.39	0.11	0.12	0.05	0.02	0.08	0.19		0.17		0.07	0.05						0.03	0.09	0.02	0.13	0.23	0.22	0.35
Bacteria;Planctomycetota;Phycisphaerae;MSBL9;4572_13;NA;NA	4572_13																																																	0.1							0.08																													
Bacteria;Planctomycetota;Phycisphaerae;MSBL9;SG8_4;NA;NA	SG8_4																																																													0.02																								
Bacteria;Planctomycetota;Phycisphaerae;Phycisphaerales;AKAU3564 sediment group;NA;NA	AKAU3564 sediment group															0.14																																																																						
Bacteria;Planctomycetota;Phycisphaerae;Phycisphaerales;Phycisphaeraceae;CL500_3;NA	CL500_3									0.07	0.15	0.05	0.02	0.03			0.06		0.1																											0.12					0.23	0.05				0.17	0.03				0.06			0.02		D			0.09	0.05	0.14	0.07							0.01	0.02	0.05				0.05	
Bacteria;Planctomycetota;Phycisphaerae;Phycisphaerales;Phycisphaeraceae;FS140_16B_02 marine group;NA	FS140_16B_02 marine group					0.46				0.14				0.06		0.12		0.05	0.07																											0.24	0.3	0.39		0.16	0.43	0.11		0.11				0.13	0.2									0.01	0.12		0.1		0.03	0.03	0.05		0.02		0.03	0.04	0.1		0.1	0.08	0.06	0.15
Bacteria;Planctomycetota;Phycisphaerae;Phycisphaerales;Phycisphaeraceae;NA;NA	Phycisphaeraceae									0.05				0.16							0.04			0.14	0.25				0.05							D	0.14				0.01			D						0.08		0.29	0.04				0.1		0.02			0.17	0.23	0.03		0.19	0.43	0.12		0.34	0.22	0.23		0.03	0.04	0.19	0.26		0.38	0.26	0.25	0.09	0.33	0.2	0.15	0.27
Bacteria;Planctomycetota;Phycisphaerae;Phycisphaerales;Phycisphaeraceae;SM1A02;NA	SM1A02													0.01																																																																								
Bacteria;Planctomycetota;Pla3 lineage;NA;NA;NA;NA	Pla3 lineage																																														0.1					0.01																																		
Bacteria;Planctomycetota;Pla4 lineage;NA;NA;NA;NA	Pla4 lineage																																																							0.02																														
Bacteria;Planctomycetota;Planctomycetes;Pirellulales;Pirellulaceae;Blastopirellula;NA	Blastopirellula		0.01		0.07	0.9				1.11	1.07	0.36	0.15	1.35	0.11	0.46	0.52	0.22	0.74	0.52	0.35	0.08	0.24	0.06	0.19			1.34	0.1	1.07							0.13				0.01	0.05			1.6	0.76	1.25	1.11		1.9	1.59	0.79	1.15	0.86	0.19	0.59	1.25	1.06	0.54		0.55	1.38	0.92	0.38	0.38	0.26	0.38	0.3	0.64	0.57	0.57	0.51	0.14	0.15	0.18	0.13	0.29	0.07	0.24	0.16	0.63	0.2	0.96	0.62	0.49	1.23
Bacteria;Planctomycetota;Planctomycetes;Pirellulales;Pirellulaceae;NA;NA	Pirellulaceae		0.02		0.09	0.24			0.15	0.53		0.23	0.09	0.54	0.18	0.3		0.18	0.61	0.32	0.13	0.09	0.05	0.13		0.05	0.05	0.19	0.23	0.39						0.08	0.15			0.19	0.22	0.12	0.07	0.11		0.14	0.14	0.02		0.65	0.12	0.28	0.41	0.16	0.15	0.11	0.45	0.23	0.43		0.25	0.66	0.33	0.18	0.16	0.15	0.06	0.27	0.3	0.1	0.59	0.24	0.13	0.12	0.15	0.11	0.3	0.11	0.23		0.27	0.16	0.47		0.19	0.21
Bacteria;Planctomycetota;Planctomycetes;Pirellulales;Pirellulaceae;Pir4 lineage;NA	Pir4 lineage					0.07						0.05		0.07							0.01																													0.04			0.03			0.06	0.35				0.14	0.11	0.03		0.02		0.06	0.01	0.01		0.02			0.02			0.01		D							0.01
Bacteria;Planctomycetota;Planctomycetes;Pirellulales;Pirellulaceae;Rhodopirellula;NA	Rhodopirellula										0.09						0.07			0.04	0.05																0.01																					0.15					0.04		0.04	0.01			0.15		0.01															
Bacteria;Planctomycetota;Planctomycetes;Pirellulales;Pirellulaceae;Rubripirellula;NA	Rubripirellula		0.33	0.29	0.27					0.2	0.11	0.24	0.02	0.44		0.42	0.02	0.25	0.34	0.09		0.02	0.04	0.03				0.32		0.49						D					0.04								0.23	0.08	0.07	0.02	0.1		0.17	0.05	0.45	0.22	0.33		0.18	0.42	0.13	0.03	0.07	0.01	0.01	0.06	0.07			0.1						0.04				0.02	0.02		0.03	0.05
Bacteria;Planctomycetota;Planctomycetes;Planctomycetales;Gimesiaceae;Gimesia;NA	Gimesia													0.04		0.01		0.01	0.07				0.03							0.12													0.01							0.01												0.11	0.19								0.1					0.02					0.01		0.1	0.07	0.02	0.08
Bacteria;Planctomycetota;Planctomycetes;Planctomycetales;Gimesiaceae;NA;NA	Gimesiaceae																																																												0.05																									
Bacteria;Planctomycetota;Planctomycetes;Planctomycetales;Rubinisphaeraceae;NA;NA	Rubinisphaeraceae													0.04					0.11																		0.01										0.02	0.02									0.34				0.07	0.07				0.03			0.02		0.01										0.01		0.01			
Bacteria;Planctomycetota;Planctomycetes;Planctomycetales;Rubinisphaeraceae;Rubinisphaera;NA	Rubinisphaera													0.02																																																																								
Bacteria;Planctomycetota;SGST604;NA;NA;NA;NA	SGST604																0.04																															0.03		0.14			0.01					0.03			0.02					0.01	0.01			0.01					0.03							0.02	0.02		0.02	
	<<<Proteobacteria>>>																																																																																					
Bacteria;Proteobacteria;Alphaproteobacteria;Azospirillales;Azospirillaceae;Niveispirillum;NA	Niveispirillum											0.09						0.04																																					0.11	0.04					0.1					0.01			0.02		0.04															
Bacteria;Proteobacteria;Alphaproteobacteria;Defluviicoccales;NA;NA;NA	Defluviicoccales	0.07	0.1	0.04	0.1	0.31	0.23	0.11	0.12	0.27	0.72	0.15	0.2	0.2	0.07	0.4	0.07	0.25	0.33	0.09	0.33	0.26	0.11	0.35	0.14	0.32	0.33	0.13	0.21	0.04					0.04	0.15	0.31	0.45	0.52		0.35	0.12	0.35	0.25	0.21	0.25	0.36	0.41	0.11	0.36	0.54	0.2	0.46	0.25	0.34	0.27	0.24	0.39	0.46	0.15	0.24	0.3	0.34	0.15	0.32	0.39	0.26	0.18	0.42	0.25	0.27	0.08	0.24	0.2	0.28	0.14	0.22	0.3	0.32	0.22	0.31	0.19	0.29	0.16	0.27	0.25
Bacteria;Proteobacteria;Alphaproteobacteria;Holosporales;Holosporaceae;NA;NA	Holosporaceae																																																							0.07																														
Bacteria;Proteobacteria;Alphaproteobacteria;Kordiimonadales;NA;NA;NA	Kordiimonadales	0.15	0.27		0.25	0.79	0.12	0.32	1.05	1.41	0.89	1.15	0.96	1.02	0.3	1.03	0.59	0.92	1.56	1.2	0.98	1.26	1.25	1.19	0.82	0.64	0.71	1.38	1.42	1.31			0.02		0.11	0.44	1.22	0.78	0.93	0.1	0.86	0.48	0.6	0.67	0.63	2.55	2.01	1.61	0.23	1.27	1.06	1.39	1.09	0.86	1.32	1.35	0.89	0.64	0.89	0.25	1.31	1.4	1.28	0.99	0.81	1.35	0.75	1.2	1.4	1.44	1.53	0.81	0.7	0.87	1.18	1.04	1.19	0.95	1.5	1.54	1.07	1.26	1.33	0.77	0.83	1.01
Bacteria;Proteobacteria;Alphaproteobacteria;Micavibrionales;Micavibrionaceae;NA;NA	Micavibrionaceae																																																																																			0.02		
Bacteria;Proteobacteria;Alphaproteobacteria;Parvibaculales;OCS116 clade;NA;NA	OCS116 clade	0.9	0.56	0.5	0.44	0.17	0.38	0.56	0.44	0.66	0.59	0.58	0.27	0.41		0.88	0.63	1.1	0.37	0.21	0.3	0.5	0.32	0.46	0.38	0.47	0.55	0.15	0.51	0.39		0.03			0.07	0.6	0.44	0.79	0.88	0.35	0.86	0.37	0.95	0.67	0.4	0.27	0.33	0.39	0.56	0.37	0.79	0.59	0.92	0.72	0.45	0.67	0.32	0.65	0.8		0.58	0.36	0.47	0.54	0.9	0.3	0.23	0.14	0.63	0.42	0.5	0.08		0.13	0.37	0.13	0.19	0.29	0.3	0.41	0.32	0.18	0.14	0.2	0.19	0.13
Bacteria;Proteobacteria;Alphaproteobacteria;Parvibaculales;PS1 clade;NA;NA	PS1 clade																					0.02			0.01	0.43								0.05																					0.03									0.03		0.29		0.4																		
Bacteria;Proteobacteria;Alphaproteobacteria;Puniceispirillales;EF100_94H03;NA;NA	EF100_94H03									0.03				0.02	0.09	0.03		0.02											0.04																								0.04															D		0.02									0.01				0.02			0.03
Bacteria;Proteobacteria;Alphaproteobacteria;Puniceispirillales;NA;NA;NA	Puniceispirillales				0.27				0.04	0.05		0.45		0.07				0.26	0.12			0.01	0.18	0.04	0.07			0.17	0.02	0.37											0.19	0.03							0.29			0.05			0.45				0.06		0.35	0.09	0.02			0.04	0.07			0.09	0.09							0.03	0.06				0.05	0.03	0.04	0.05
Bacteria;Proteobacteria;Alphaproteobacteria;Puniceispirillales;SAR116 clade;NA;NA	SAR116 clade	4.13	5.81	6.96	4.61	0.76	6.68	2.91	3.07	1.2	1.67	1.42	2.81	1.78	2.01	1.3	1.2	1.6	1.93	1.37	2.01	3.71	2.13	3.08	1.97	3.34	3.89	3.36	2.01	2.56	2.29	2.71	3.11	1.65	1.41	1.44	1.32	2.44	2.46	1.6	1.81	2.32	3.41	2	0.65	1.19	0.94	0.84	5.6	1.09	1.14	1.87	1.4	1.61	1.21	2.08	2.01	1.3	1.33	2.41	1.48	1.77	1.44	1.73	1.15	1.14	1.67	1.23	1.15	1.98	1.38	1.76	0.57	0.72	0.92	0.97	1.24	1.42	1.06	1.14	0.91	0.76	0.64	0.83	1.29	0.68
Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Hyphomicrobiaceae;Filomicrobium;NA	Filomicrobium			0.08						0.02	0.02												0.04							0.09																	0.03	0.04														0.04		0.01					0.02																	
Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Methyloligellaceae;NA;NA	Methyloligellaceae	0.29	0.27	0.27	0.24		0.13		0.22	0.3		0.12	0.02	0.18		0.36		0.48	0.18			0.06	0.01	0.21		0.03			0.07						0.01	0.14	0.27	0.25	0.06	0.11	0.36	0.2	0.09	0.18					0.46			0.12	0.24		0.15		0.13	0.01	0.37		0.42	0.11	0.06	0.01					D	0.03	0.08	0.07							0.03				0.03			
Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Rhizobiaceae;Lentilitoribacter;NA	Lentilitoribacter																																																							0.28																														
Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Rhizobiaceae;Pseudahrensia;NA	Pseudahrensia													0.03																																		0.04									0.07					0.04						0.02																		
Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Rhizobiaceae;Pseudorhizobium;NA	Pseudorhizobium																																			0.04																																																		
Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Stappiaceae;NA;NA	Stappiaceae																																																										0.08																											
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Amylibacter;NA	Amylibacter	1.85	3.44	3.31	3.77	0.84	1.95	6.46	3.72	1.86	1.74	3.72	2.2	1.68	1.03	1.75	0.78	4.07	1.71	1.22	2.76	1.81	4.47	1.36	1.27	0.32	1.31	3.21	1.67	3.22	2.83	2.31	0.58	4.92	8.21	1.18	0.98	2.68	2.39	1.95	2.34	0.74	2.45	3.55	2.06	0.98	0.91	0.45	1.53	0.46	0.37	1.32	1.4	1.16	3.27	1.16	1.67	0.61	1.72	1.27	4.24	2.09	1.3	2.98	1.71	1.49	1.55	1.23	1.52	2.7	1.65	2.54	0.52	0.61	1.1	0.5	0.77	1.16	0.44	0.47	0.33	0.5	0.43	0.45	0.27	0.32
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Ascidiaceihabitans;NA	Ascidiaceihabitans	5.93	4.36	4.96	4.64	4.38	6.18	2.43	3.06	1.14	2	2.3	1.81	0.92	5.71	2.16	0.88	1.22	0.9	0.69	1.42	0.85	2.11	1.07	0.41	0.41	1.55	1.54	0.85	1.82			0.16	0.07	0.39	0.17	0.31			0.24	0.11	0.13	0.06	0.02	1.48	1.58	3.21	2.2	4.74	1.21	0.89	1.24	1.13	1.99	2.21	2.51	0.7	1.96	2.25	4.87	1.09	0.96	0.79	1.79	1.08	0.49	0.59	0.3	1.25	1.31	1.18	3.21	0.84	0.7	0.64	0.5	1.08	0.3	0.43	0.42	0.59	0.52	0.75	1.15	0.62	0.79
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Lentibacter;NA	Lentibacter										0.06																																																																											
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;NA;NA	Rhodobacteraceae	2.23	2.67	2.13	4.49	0.55	1.62	2.59	0.31	0.93	1.39	0.68	0.32	0.5	0.68	0.9	1.1	1.17	0.62	0.73	0.46	0.35	0.27	0.58	0.72	0.2	0.45	0.25	0.58	0.46		0.12	0.03	0.13	0.07	0.4	0.43	0.17	0.05	0.05	0.42	0.06	0.37	0.04	0.52	1.45	1.32	1.34	2.54	1	1.78	0.4	1.14	1.66	0.5	0.65	0.67	0.6	1.16	0.97	0.84	0.62	1.17	0.65	1.31	1.31	0.77	1.78	1.64	0.66	0.95	0.54	1.94	1.51	1.33	1.2	1.29	0.72	0.88	0.9	0.8	1.11	0.91	1.5	0.78	1.15
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Octadecabacter;NA	Octadecabacter	0.15	0.12	0.26	0.1	0.14	0.13		0.18					0.04									0.09	0.02					0.02		0.74	1.01	1.07	0.24	0.29	0.07	0.02	0.05	0.1	0.44	0.06			0.04				0.02		0.02							0.03							0.03		0.03			0.02				0.03				0.03		0.05	0.05			0.07			0.01
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Planktomarina;NA	Planktomarina	2.89	3.48	3.68	3.2	2.48	1.93	2.84	3.14	1.52	2.11	2.93	2.17	2.86	1.67	1.87	1.63	2.19	2.83	2.15	2.67	3.67	3.8	2.89	1.87	1.1	3.16	4.5	3.52	2.63	2.41	2.23	2.43	2.09	5.29	5.2	2.9	5.09	4.39	4.57	2.97	3.62	4.09	2.2	4.73	4.17	3.48	2.63	3.79	2.07	2.84	3.63	1.56	2.85	2.95	2.2	2.54	2.7	1.76	1.86	2.24	3.39	2.32	2.82	2.47	1.93	2.09	1.46	1.84	2.51	2.39	3.3	2.04	2.29	2.21	2.34	2.24	3.88	2.01	2.37	2.15	1.88	2.24	2.55	1.96	2.07
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Profundibacterium;NA	Profundibacterium													0.09																																																																								
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Roseobacter clade NAC11_7 lineage;NA	Roseobacter clade NAC11_7 lineage	0.05		0.33	0.49				0.02			0.02	0.04	0.03		0.08		0.09		0.12	0.07	0.01		0.05	0.07				0.03						0.05	0.05								0.01	0.01				0.4						0.13				0.17		0.03			0.05		0.17	0.04	0.14	0.05	0.05						0.08		0.04	0.03			0.01				
